,ind_id,race_id,municipality,csd,province,first_name,last_name,party,votes_received,total_votes,incumbent,elected,acclaimed,gender,election_year,election_date,position,ward,source
41,,LethbrideCounty2021councillor3,Lethbridge County,,AB,Mark,Sayers,Independent,176.0,234.0,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,3.0,Canadian Municipal Barometer
42,,LethbrideCounty2021councillor4,Lethbridge County,,AB,John,Kuerbis,Independent,181.0,298.0,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,4.0,Canadian Municipal Barometer
43,,LethbrideCounty2021councillor4,Lethbridge County,,AB,Michael,Schooten,Independent,117.0,298.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,4.0,Canadian Municipal Barometer
44,,LethbrideCounty2021councillor6,Lethbridge County,,AB,Klaas,Vander Veen,Independent,,,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,6.0,Canadian Municipal Barometer
45,,LethbrideCounty2021councillor7,Lethbridge County,,AB,Morris,Zeinstra,Independent,,,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,7.0,Canadian Municipal Barometer
46,,Lethbridge2021mayor99,Lethbridge,,AB,Sheldon Joseph,Day Chief,Independent,1079.0,27984.0,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
47,,Lethbridge2021mayor99,Lethbridge,,AB,Blaine E.,Higgins,Independent,11973.0,27984.0,0,1,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
48,,Lethbridge2021mayor99,Lethbridge,,AB,Gary L.,Klassen,Independent,687.0,27984.0,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
49,,Lethbridge2021mayor99,Lethbridge,,AB,Bridget,Mearns,Independent,11465.0,27984.0,0,0,0,F,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
50,,Lethbridge2021mayor99,Lethbridge,,AB,Kolton (tha maniac),Menzak,Independent,321.0,27984.0,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
51,,Lethbridge2021mayor99,Lethbridge,,AB,Stephen,Mogdan,Independent,2459.0,27984.0,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
52,,Lethbridge2021councillor99,Lethbridge,,AB,Kelti,Baird,Independent,5785.0,164920.0,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
53,,Lethbridge2021councillor99,Lethbridge,,AB,Marissa,Black,Independent,4839.0,164920.0,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
54,,Lethbridge2021councillor99,Lethbridge,,AB,Mark,Campbell,Independent,9117.0,164920.0,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
55,,Lethbridge2021councillor99,Lethbridge,,AB,Jeff,Carlson,Independent,8877.0,164920.0,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
56,,Lethbridge2021councillor99,Lethbridge,,AB,Ben,Christensen,Independent,1207.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
57,,Lethbridge2021councillor99,Lethbridge,,AB,Belinda,Crowson,Independent,10738.0,164920.0,1,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
58,,Lethbridge2021councillor99,Lethbridge,,AB,Rajko,Dodic,Independent,12079.0,164920.0,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
59,,Lethbridge2021councillor99,Lethbridge,,AB,Rufa,Doria,Independent,4777.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
60,,Lethbridge2021councillor99,Lethbridge,,AB,Jerry,Firth,Independent,4695.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
61,,Lethbridge2021councillor99,Lethbridge,,AB,Bill,Ginther,Independent,6289.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
62,,Lethbridge2021councillor99,Lethbridge,,AB,Zachary,Hampton,Independent,2848.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
63,,Lethbridge2021councillor99,Lethbridge,,AB,Dale P.,Leier,Independent,2333.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
64,,Lethbridge2021councillor99,Lethbridge,,AB,Ryan,Lepko,Independent,3835.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
65,,Lethbridge2021councillor99,Lethbridge,,AB,Darcy,Logan,Independent,4883.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
66,,Lethbridge2021councillor99,Lethbridge,,AB,Shelby J.,Macleod,Independent,3661.0,164920.0,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
67,,Lethbridge2021councillor99,Lethbridge,,AB,Bernard (Bernie),Mbonihankuye,Independent,850.0,164920.0,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
68,,Lethbridge2021councillor99,Lethbridge,,AB,John,Middleton-Hope,Independent,10046.0,164920.0,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
